rank,team,conference,record
1,Duke,28-2,ACC
2,Michigan,27-2,Big Ten
3,Arizona,28-2,Big 12
4,Florida,24-6,SEC
5,Illinois,23-7,Big Ten
6,Gonzaga,28-3,WCC
7,Houston,25-5,Big 12
8,UConn,27-3,Big East
9,Purdue,23-7,Big Ten
10,Iowa St.,24-6,Big 12
11,Michigan St.,24-5,Big Ten
12,Nebraska,25-5,Big Ten
13,Virginia,26-4,ACC
14,Texas Tech,22-8,Big 12
15,Louisville,21-9,ACC
16,Arkansas,22-8,SEC
17,Alabama,22-8,SEC
18,Vanderbilt,23-7,SEC
19,Kansas,21-9,Big 12
20,Tennessee,21-9,SEC
21,Saint Mary's (CA),26-4,WCC
22,St. John's (NY),24-6,Big East
23,Saint Louis,26-3,Atlantic 10
24,North Carolina,24-6,ACC
25,BYU,20-10,Big 12
26,Iowa,20-9,Big Ten
27,Kentucky,19-11,SEC
28,Utah St.,23-6,Mountain West
29,Miami (FL),24-6,ACC
30,Georgia,21-9,SEC
31,Wisconsin,21-9,Big Ten
32,Ohio St.,19-11,Big Ten
33,NC State,19-11,ACC
34,Villanova,23-7,Big East
35,Clemson,21-9,ACC
36,UCLA,20-10,Big Ten
37,Indiana,18-12,Big Ten
38,SMU,19-11,ACC
39,Texas,17-12,SEC
40,Auburn,16-14,SEC
41,Santa Clara,23-7,WCC
42,TCU,20-10,Big 12
43,Texas A&M,20-10,SEC
44,Cincinnati,17-13,Big 12
45,San Diego St.,18-10,Mountain West
46,VCU,23-7,Atlantic 10
47,New Mexico,21-8,Mountain West
48,UCF,20-9,Big 12
49,South Fla.,20-8,American
50,Tulsa,21-6,American
51,Baylor,14-15,Big 12
52,Seton Hall,20-10,Big East
53,Miami (OH),27-0,MAC
54,Virginia Tech,19-11,ACC
55,Belmont,25-5,MVC
56,Akron,23-5,MAC
57,Oklahoma,16-14,SEC
58,Washington,15-15,Big Ten
59,Boise St.,18-10,Mountain West
60,Missouri,20-10,SEC
61,McNeese,24-5,Southland
62,West Virginia,17-13,Big 12
63,Stanford,19-11,ACC
64,California,20-9,ACC
65,Arizona St.,16-14,Big 12
66,Wake Forest,15-15,ACC
67,Yale,20-5,Ivy League
68,Southern California,17-12,Big Ten
69,Dayton,21-9,Atlantic 10
70,Northwestern,13-17,Big Ten
71,Colorado,17-13,Big 12
72,Nevada,19-11,Mountain West
73,Grand Canyon,19-11,Mountain West
74,Florida St.,16-14,ACC
75,LSU,15-15,SEC
76,Minnesota,14-16,Big Ten
77,High Point,24-4,Big South
78,Oklahoma St.,18-12,Big 12
79,Syracuse,15-15,ACC
